Class_Type	Animal_Names
Mammal	aardvark
Mammal	 antelope
Mammal	 bear
Mammal	 boar
Mammal	 buffalo
Mammal	 calf
Mammal	 cavy
Mammal	 cheetah
Mammal	 deer
Mammal	 dolphin
Mammal	 elephant
Mammal	 fruitbat
Mammal	 giraffe
Mammal	 girl
Mammal	 goat
Mammal	 gorilla
Mammal	 hamster
Mammal	 hare
Mammal	 leopard
Mammal	 lion
Mammal	 lynx
Mammal	 mink
Mammal	 mole
Mammal	 mongoose
Mammal	 opossum
Mammal	 oryx
Mammal	 platypus
Mammal	 polecat
Mammal	 pony
Mammal	 porpoise
Mammal	 puma
Mammal	 pussycat
Mammal	 raccoon
Mammal	 reindeer
Mammal	 seal
Mammal	 sealion
Mammal	 squirrel
Mammal	 vampire
Mammal	 vole
Mammal	 wallaby
Mammal	 wolf
Bird	chicken
Bird	 crow
Bird	 dove
Bird	 duck
Bird	 flamingo
Bird	 gull
Bird	 hawk
Bird	 kiwi
Bird	 lark
Bird	 ostrich
Bird	 parakeet
Bird	 penguin
Bird	 pheasant
Bird	 rhea
Bird	 skimmer
Bird	 skua
Bird	 sparrow
Bird	 swan
Bird	 vulture
Bird	 wren
Reptile	pitviper
Reptile	 seasnake
Reptile	 slowworm
Reptile	 tortoise
Reptile	 tuatara
Fish	bass
Fish	 carp
Fish	 catfish
Fish	 chub
Fish	 dogfish
Fish	 haddock
Fish	 herring
Fish	 pike
Fish	 piranha
Fish	 seahorse
Fish	 sole
Fish	 stingray
Fish	 tuna
Amphibian	 frog
Amphibian	 newt
Amphibian	 toad
Bug	flea
Bug	 gnat
Bug	 honeybee
Bug	 housefly
Bug	 ladybird
Bug	 moth
Bug	 termite
Bug	 wasp
Invertebrate	clam
Invertebrate	 crab
Invertebrate	 crayfish
Invertebrate	 lobster
Invertebrate	 octopus
Invertebrate	 scorpion
Invertebrate	 seawasp
Invertebrate	 slug
Invertebrate	 starfish
Invertebrate	 worm
